Company Name,Stock Code,Report Date,Beg.Amt,End.Amt,Investment Return,Currency Derivative?end value?,Commodity/Index Futures(end),Interest Derivative (end),Cashflow Hedge,Equity Options,Derivative Usage Dummy,oversea 
???????????????,2183,20101231,-47900875,-28312735,4747313,yes,yes,yes,1,,,1
???????????????,2183,20111231,-28312735,-21520485,-156977607,yes,yes,yes,1,,,1
???????????????,2183,20121231,-21520485,28072935,-47098868,yes,yes,yes,1,yes,,1
???????????????,2183,20131231,28072935,-25390618,12573197,yes,yes,yes,1,yes,,1
???????????????,2183,20141231,-25390618,33895064,-16613082,yes,yes,yes,1,yes,,1
???????????????,2183,20151231,33895064,2602898,-1931315,yes,yes,yes,1,yes,,1
??????????,2188,20111231,,699328.7,,yes,,,,,,1
??????????,2188,20121231,699328.7,1183552.45,624586.9,yes,,,,,,1
??????????,2188,20131231,1183552.45,-1106852.45,3980445.72,yes,,,,,,1
??????????,2188,20141231,-1106852.45,-76700,401360,yes,,,,,,1
??????????,2188,20151231,-76700,0,603303.06,yes,,,,,,1
????????????,2202,20081231,0,-2279123.35,2490471.77,yes,,,,,,1
????????????,2202,20091231,-2279123.35,-3799936.91,8184317.6,yes,,,,,,1
????????????,2202,20101231,-3799936.91,8507802.59,1473846.54,yes,yes,,,,,1
????????????,2202,20111231,8507802.59,31261198.17,533060.75,yes,yes,,,,,1
????????????,2202,20121231,31261198.17,1637033.73,7878526.27,yes,yes,,,yes,,1
????????????,2202,20131231,1637033.73,3565951.44,92960413.6,yes,,yes,1,yes,,1
????????????,2202,20141231,3565951.44,-20065461.76,73105013.06,yes,,yes,1,yes,,1
????????????,2202,20151231,-20065461.76,-929919.51,-2388950.14,yes,,yes,1,,,1
??????????,2203,20051231,-747119.2,254500,322530.8,,,,,,,1
??????????,2203,20061231,254500,3156700,30333150,,,,,,,1
??????????,2203,20071231,3156700,5986450,,,yes,,,,,1
??????????,2203,20081231,5986450,7879.92,,,yes,,1,,,1
??????????,2203,20091231,7879.92,-52347502.93,,,yes,,1,,,1
??????????,2203,20101231,-52347502.93,-35460552.74,,,yes,,1,,,1
??????????,2203,20111231,-35460552.74,94269927,1651019.73,yes,yes,,1,,,1
??????????,2203,20121231,94269927,1055595.99,3755418.56,yes,yes,,1,,,1
??????????,2203,20131231,1055595.99,-2381523.27,3353271.8,yes,yes,,1,,,1
??????????,2203,20141231,-2381523.27,16804714.49,,,yes,,1,,,1
??????????,2203,20151231,16804714.49,18562225.05,23521062.51,yes,yes,,1,,,1
????????????????,2210,20081231,,353557.19,-214045.67,yes,,,,,,1
????????????????,2210,20091231,353557.19,3028412.17,287160.31,yes,,,,,,1
????????????????,2210,20101231,3028412.17,-11746433.47,-4534332.09,yes,,,,,,1
????????????????,2210,20111231,-11746433.47,-33345996.33,-8713438.35,yes,,,,,,1
????????????????,2210,20121231,-33345996.33,37006527.11,-29712274.07,yes,,,,,,1
